P_min,P_max,P_range,S_mean,M_sum,M_mean,M_max,num_domains,closed_units,step,wall_time_s
0.9031534610600108,1.4118066591848208,0.50865319812481,0.7167899462943627,1915.1209816735936,0.11688970835410117,0.5022827563330854,2088,0,2000,13.14
2.082297895902165,2.8763766566545494,0.7940787607523845,0.7370292827327433,1905.9168484440274,0.11632793264428878,0.6588372842980506,2031,0,4000,26.24
2.552214193050318,3.452718034878439,0.900503841828121,0.7393022459874323,1699.4446846938808,0.103725871868523,0.6955542687222461,1090,4,6000,38.7
0.7590952728302198,1.0209320936498814,0.26183682081966153,0.7411046849516831,739.0253201075549,0.04510652588547088,0.5053691095336204,262,5,8000,50.65
0.3690146886953591,0.42600920749534793,0.05699451879998885,0.5309920528271507,91.36557832110358,0.00557651234870017,0.04990416436188322,0,0,10000,62.28
0.11431901787456233,0.2530370254813143,0.13871800760675196,0.15957645127794895,70.00984094008669,0.004273061580815838,0.055775965551156576,5,0,12000,73.81
0.013718601262203974,0.17049971680356416,0.15678111554136018,0.15416054438682114,54.53412824707324,0.003328499038517654,0.06215112795975178,4,0,14000,85.53
0.00018130495041710287,0.15050022845217387,0.15031892350175677,0.16250253328282055,57.092019102302416,0.0034846203065370127,0.06806866086938831,15,0,16000,97.28
0.00015816313267190301,0.15044734101119558,0.1502891778785237,0.162484440223188,61.57830663732037,0.0037584415672192607,0.09067442104476615,15,1,18000,109.03
0.0001587255220557166,0.15035635280621443,0.1501976272841587,0.1625226791806387,63.02086323739305,0.0038464882347041657,0.09456179752774471,9,1,20000,120.76
